                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.1779,                 0.6068,                0.80374,                0.67264,                0.62087,                0.70728,                0.56295,                 1.0179,                0.65865,                0.79558,               0.004456,               0.004456,               0.004456
                    114,                 1.1788,                0.58352,                0.80488,                 0.7425,                  0.586,                0.70426,                0.56186,                 1.0382,                0.65716,                0.79568,              0.0044065,              0.0044065,              0.0044065
                    115,                  1.108,                0.58649,                0.80061,                0.73772,                0.61235,                0.70727,                0.56398,                 1.0411,                0.65561,                0.79578,               0.004357,               0.004357,               0.004357
                    116,                  1.104,                0.59175,                0.80728,                0.79789,                0.56031,                0.69705,                0.55761,                 1.0376,                0.65456,                0.79577,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0339,                0.55854,                0.80641,                0.72893,                0.62828,                0.70981,                0.56621,                 1.0299,                0.64853,                0.79531,               0.004258,               0.004258,               0.004258
                    118,                 1.0854,                0.56907,                0.80243,                0.73686,                0.61931,                0.71485,                0.56466,                  1.024,                0.63951,                0.79596,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0802,                0.57612,                 0.8056,                0.75616,                0.60693,                0.70484,                0.56294,                 1.0227,                0.63797,                0.79587,               0.004159,               0.004159,               0.004159
                    120,                 1.1422,                0.56831,                0.80302,                0.76347,                0.60787,                0.70015,                 0.5542,                 1.0283,                0.63449,                0.79592,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0871,                0.55855,                0.80148,                0.70977,                0.62807,                0.71528,                0.56911,                 1.0409,                0.64106,                0.79567,                0.00406,                0.00406,                0.00406
                    122,                 1.0971,                0.55873,                0.80309,                0.72515,                0.61756,                0.71835,                0.57389,                  1.029,                0.63522,                0.79609,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0555,                0.55249,                0.80266,                0.72139,                0.63174,                0.72172,                0.57539,                 1.0301,                0.63896,                0.79599,               0.003961,               0.003961,               0.003961
                    124,                 1.0735,                0.54968,                0.79491,                0.72326,                0.62837,                0.71161,                0.56918,                 1.0405,                0.62886,                0.79609,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0762,                0.53999,                0.80042,                0.74896,                0.62051,                0.71438,                0.56908,                 1.0345,                0.62209,                0.79529,               0.003862,               0.003862,               0.003862
                    126,                 1.1018,                 0.5555,                 0.7955,                0.70505,                0.64143,                0.71531,                0.57131,                 1.0294,                0.62262,                0.79443,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1068,                0.55565,                 0.8046,                0.72523,                0.62909,                0.71601,                0.57215,                 1.0336,                0.62065,                0.79417,               0.003763,               0.003763,               0.003763
                    128,                 1.0698,                0.53992,                0.79885,                0.76337,                0.60629,                0.70823,                0.56103,                 1.0355,                 0.6239,                 0.7945,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0966,                0.54535,                0.80032,                0.75893,                0.60555,                 0.7118,                 0.5635,                 1.0393,                0.62323,                0.79434,               0.003664,               0.003664,               0.003664
                    130,                 1.0711,                0.53662,                0.80378,                0.78275,                0.59852,                0.71267,                0.56545,                 1.0325,                0.61953,                0.79421,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0393,                0.52991,                0.79733,                0.76112,                0.61412,                0.71462,                0.56754,                 1.0341,                0.61908,                0.79412,               0.003565,               0.003565,               0.003565
                    132,                  1.088,                0.53413,                0.80207,                0.75737,                0.62158,                0.71661,                0.56922,                  1.038,                0.62258,                0.79428,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0579,                0.54497,                0.80297,                0.73382,                0.63347,                0.71278,                0.56455,                   1.03,                0.62186,                0.79395,               0.003466,               0.003466,               0.003466
                    134,                 1.1014,                0.52863,                0.79867,                0.74808,                0.62467,                0.71278,                0.56877,                 1.0289,                 0.6188,                0.79425,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0405,                0.51737,                0.79889,                0.75896,                0.61306,                0.70251,                0.55796,                 1.0434,                0.62032,                 0.7945,               0.003367,               0.003367,               0.003367
                    136,                 1.0598,                  0.522,                0.80521,                0.70622,                0.63754,                0.70303,                0.55774,                 1.0398,                0.61957,                0.79479,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0468,                0.51272,                0.80101,                0.77875,                0.59917,                0.70454,                0.56135,                 1.0377,                0.61035,                0.79473,               0.003268,               0.003268,               0.003268
                    138,                 1.0444,                0.51264,                 0.7975,                0.76249,                0.62723,                0.71142,                0.56815,                 1.0331,                0.60974,                0.79478,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0792,                0.50768,                0.80025,                0.72912,                0.64703,                 0.7182,                0.57324,                  1.037,                0.60317,                 0.7949,               0.003169,               0.003169,               0.003169
                    140,                 1.0046,                0.50429,                0.80127,                 0.7332,                0.64298,                0.71022,                0.56643,                 1.0406,                0.60158,                0.79484,              0.0031195,              0.0031195,              0.0031195
                    141,                0.98322,                0.49258,                0.79699,                0.73928,                0.62602,                0.71152,                0.56749,                 1.0422,                0.60802,                0.79455,                0.00307,                0.00307,                0.00307
                    142,                 1.0429,                0.50845,                0.79736,                0.75116,                0.62182,                0.70923,                0.56711,                 1.0436,                0.60192,                0.79451,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0576,                0.49406,                0.79872,                0.75951,                0.60986,                0.71109,                0.56716,                 1.0553,                0.59462,                0.79525,               0.002971,               0.002971,               0.002971
                    144,                 1.0293,                 0.5059,                0.79746,                0.72903,                0.64491,                0.71348,                0.56661,                 1.0608,                0.59307,                0.79488,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0228,                0.49118,                0.79365,                0.72553,                0.64205,                0.71163,                0.56668,                 1.0633,                0.59336,                 0.7946,               0.002872,               0.002872,               0.002872
                    146,                 1.0472,                0.48757,                0.80389,                0.74078,                0.63324,                0.70993,                0.56358,                  1.062,                0.59399,                0.79426,              0.0028225,              0.0028225,              0.0028225
                    147,                0.98663,                0.49797,                0.79542,                0.72206,                0.63538,                0.71723,                0.57242,                 1.0618,                0.59009,                0.79386,               0.002773,               0.002773,               0.002773
                    148,                 1.0121,                  0.496,                0.79935,                0.74791,                 0.6207,                0.71468,                0.56897,                 1.0669,                0.59046,                0.79398,              0.0027235,              0.0027235,              0.0027235
                    149,                0.95824,                0.45884,                0.79072,                 0.7346,                0.62435,                0.71482,                0.56724,                  1.069,                0.59168,                 0.7939,               0.002674,               0.002674,               0.002674
                    150,                0.99294,                0.48081,                0.79724,                0.74467,                0.62637,                0.71339,                0.56806,                 1.0731,                0.58665,                0.79368,              0.0026245,              0.0026245,              0.0026245
